127.0.0.1 - - [20/Mar/2014:22:50:10 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:11 +0800] "GET /ICOFSOFTWARE/ HTTP/1.1" 404 977
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/index.jsp HTTP/1.1" 200 12179
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/css/stylish-portfolio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/img/SoftwareBuilding.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/img/MainBuilding2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:19 +0800] "GET /ICOFSOFTWARE/NewsHome/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:20 +0800] "GET /ICOFSOFTWARE/NewsHome/img/HIT-MainBuilding.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:43 +0800] "POST /ICOFSOFTWARE/LoginServlet HTTP/1.1" 200 22889
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:43 +0800] "GET /assets/example/bg_4.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:43 +0800] "GET /ICOFSOFTWARE/js/jquery.min.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:43 +0800] "GET /assets/example/bg_5.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:43 +0800] "GET /ICOFSOFTWARE/js/bootstrap.min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1%0 - - [20/Mar/2014:22:50:43 +0800] "GET /ICOFSOFTWARE/css/bootstrap.min.css HTTP/1.1" 404 1019
