0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/css/stylish-portfolio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/img/SoftwareBuilding.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/img/MainBuilding2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/img/callout.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:29:02 +0800] "GET /ICOFSOFTWARE/NewsHome/img/HIT-MainBuilding.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:36:58 +0800] "POST /ICOFSOFTWARE/LoginServlet HTTP/1.1" 200 22889
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:36:58 +0800] "GET /ICOFSOFTWARE/css/bootstrap.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:36:58 +0800] "GET /assets/example/bg_5.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:36:58 +0800] "GET /assets/example/bg_4.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:36:58 +0800] "GET /ICOFSOFTWARE/js/jquery.min.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:36:58 +0800] "GET /ICOFSOFTWARE/js/bootstrap.min.js HTTP/1.1" 404 1015
